,collocate,raw_frequency,MI
411,God,1,-0.15701019171272682
412,Good,1,0.771712500151376
413,Gordon,1,3.7920609249278074
414,Gordons,1,6.666880269816487
415,Grafton,1,6.849201826610442
416,Grey,1,2.1838777178026034
417,Grimsby,1,5.213446605858969
418,Guise,1,4.992903836244816
419,Ha,1,2.7615462525391377
420,Hague,1,4.392466053789138
421,Halifax,1,3.3015019859592853
422,Hamet,1,7.611341878657338
423,Hamiltons,1,6.9923026702511155
424,Handel,1,5.294572150671336
425,Harney,1,4.163624481360291
426,Harper,1,2.9669509795159663
427,Harrel,1,2.931859659704696
428,Harrie,1,5.1029047314591445
429,Harry,2,2.9108615128649227
430,Harsh,1,7.4778104860328165
431,Haskins,1,6.849201826610442
432,Hatchard,1,4.982541049209269
433,Have,2,1.763871431167245
434,Hawley,1,6.091516124912926
435,Haymarket,1,5.79605191201909
436,He,63,1.834293488037308
437,Heaven,4,2.8592922825252245
438,Heavenly,1,4.865904145483508
439,Heavens,1,3.5783662628115303
440,Hello,1,3.3918341734812323
441,Her,19,2.776373640014443
442,Herbert,1,2.2209663676913545
443,Here,2,1.1743905490917064
444,Herod,1,4.674450105126281
445,High,1,2.5716102100734437
446,Hilda,1,1.9837207649667017
447,Hills,1,4.347765874871231
448,Hilma,1,3.843519222203283
449,His,14,2.1656166305564946
450,Honoria,1,3.7611942769472804
451,Honourable,1,3.9850979955348875
452,Horses,1,5.079915213234446
453,How,5,1.3729056527025878
454,Hubert,1,2.4263531974163053
455,Hudson,1,3.944123921324582
456,Hugh,1,2.294623426738411
457,Hurree,1,5.337744322536546
458,Hurstwood,1,2.9305342784636275
459,Hyde,1,3.0895533016082983
460,I,215,1.3582582974187234
461,III,1,2.91346229456498
462,IS,1,3.0726167920774
463,Iberville,3,4.566819440933916
464,If,6,1.0223171548202576
465,Ill,2,5.01929059141801
466,Imagination,1,5.750589537942332
467,Impossible,1,3.5051628587882355
468,In,14,1.8795538846205975
469,Indeed,2,1.9277621113186572
470,India,1,2.7242202949264516
471,Indian,1,1.612759863780493
472,Ingolby,1,3.560799939093631
473,Inspector,2,4.18894228934458
474,Instant,1,7.947814115278552
475,Instead,1,3.036630900153956
476,Instinct,1,6.2250475175374484
477,Irish,1,2.5036663005189754
478,Irma,1,5.162802873040214
479,Is,4,1.865366920458699
480,Isaacs,1,3.4911439376089044
481,Isn,2,3.3267705801341703
482,It,53,1.942818880678771
483,J,1,3.0292941100901016
484,JOHN,1,4.865904145483508
485,Jacqueminot,1,7.611341878657338
486,James,1,1.8319219897955177
487,Jan,1,2.4907850575756942
488,Jane,1,1.0738224664492237
489,Japanese,1,4.398196728498123
490,Jeekie,1,3.0833613313603774
491,Jem,1,2.5790382850819538
492,Jew,2,3.299584439830013
493,Jo,1,2.050660247641811
494,Joe,2,2.869520172708481
495,John,6,1.8862794992913292
496,Johnny,2,4.701323123377378
497,Joseph,1,2.1560207632996375
498,Juanita,2,4.152324926106357
499,Julia,1,2.2367250654399125
500,June,1,2.7727949650750086
501,Just,4,2.7790361200855003
502,KING,1,5.079915213234446
503,Karl,1,4.145605975857612
504,Keep,1,2.917376193886116
505,Khan,1,4.304978599666022
506,Kid,1,4.427353312789578
507,King,1,0.650045832747172
508,Knox,1,6.6128130485462115
509,La,1,2.4449245830017405
510,Ladies,1,3.955133206832951
511,Lady,13,2.3441636833554766
512,Land,1,3.0849057332117513
513,Langes,1,9.557252027712652
514,Larga,1,7.072345377924652
515,Late,1,4.253947119653576
516,Laura,1,1.1436431525529853
517,Lavinia,1,3.8736722603739704
518,Lawrence,1,3.132383003807264
519,Leaving,1,4.239132033868436
520,Lend,1,6.060744466246172
521,Let,3,1.5498849597293218
522,Letty,1,2.7841716520571165
523,Life,1,2.4279544787832794
524,Like,1,2.258806926204505
525,Limewalk,1,8.864104847152706
526,Lisa,1,4.084981354041178
527,Lively,1,6.421757811783502
528,Liverpool,1,3.6464553836721247
529,London,5,1.9981095024188014
530,Long,1,2.5950085634464455
531,Loo,3,5.18780417524563
532,Lord,8,2.090381085836775
533,Los,1,3.9118051300694145
534,Lothario,1,7.360027450376433
535,Louder,1,6.421757811783502
536,Louvre,1,4.952081841724561
537,Lovey,1,6.189956197726178
538,Lucia,1,3.4727526146374808
539,Lucy,1,1.5103825167530756
540,Ludovico,2,4.670669382286375
541,Lung,1,6.918194698097394
542,M,1,1.478873924086133
543,Macbeth,1,5.382864757817015
544,Madame,4,2.235898140725628
545,Madeleine,1,3.36284663660798
546,Mademoiselle,1,2.180118314878698
547,Madras,1,4.992903836244816
548,Magen,1,5.773062393794391
549,Maid,1,4.903291677555129
550,Major,3,2.7124365485043893
551,Maker,1,4.177354674172192
552,Malahide,3,8.090914958919225
553,Malay,1,6.724038683656436
554,Mamie,1,4.513826910793405
555,Mandy,1,3.309209153204223
556,Manon,1,6.918194698097394
557,Manor,2,3.709369209082694
558,Many,1,2.1707811788827582
559,Marcella,1,2.1206347624784256
560,Marcos,1,3.1890648413621596
561,Margaret,3,1.8446591288178737
562,Margery,1,4.587438728136651
563,Marguerite,1,3.1907815799812145
564,Marie,4,3.7967742093799055
565,Marion,2,4.1367170284403665
566,Mark,1,3.402393933696234
567,Marquis,1,2.6395464178773467
568,Martin,4,3.2173337383250136
569,Marvel,1,4.093420222687042
570,Marvell,1,3.7050495479381778
571,Mary,5,2.219013877647063
572,Maryllia,2,3.7566453684209113
573,Mason,1,3.6170807749922207
574,Mathilde,1,4.310227955552166
575,Matilda,1,3.1670113606473023
576,Maud,1,3.3053481445467634
577,May,1,1.0798397063082594
578,Mayer,1,4.674450105126281
579,McDowell,1,8.170957666592761
580,Meantime,1,3.614452652585951
581,Meanwhile,1,1.976552275488089
582,Mediterranean,1,4.106213574146952
583,Mequinez,1,6.2250475175374484
584,Mercutio,1,7.765492558484597
585,Meyrick,2,5.024652534559396
586,Micah,1,5.2531869345084825
587,Midi,1,6.3791981973647065
588,Mildred,1,3.89082533960022
589,Millicent,1,3.8271522447390773
590,Mind,1,3.6276628843227576
591,Mine,1,3.7734268453829145
592,Mingo,1,5.707104426002593
593,Minstrel,1,6.060744466246172
594,Minta,1,4.560039753948537
595,Miranda,1,3.7734268453829145
596,Mirus,1,7.947814115278552
597,Miss,16,2.0514160276770994
598,Missy,1,6.001903966223239
599,Mittin,1,4.403960433214873
600,Mon,1,3.614452652585951
601,Moncadas,1,6.9923026702511155
602,Monica,2,3.1131207710122117
603,Mons,1,4.932279214428381
604,Monterey,2,5.175225393038771
605,Montreal,2,4.952081841724561
606,Morano,1,4.48834782549242
607,More,1,2.462187650425521
608,Moreover,2,3.019836054863305
609,Morgana,1,3.722441290650047
610,Most,1,2.4175916917477327
611,Mowbray,1,2.6296941214343352
612,Moxey,1,4.5399721908977275
613,Mr,11,0.9103232750970066
614,Mrs,14,1.432255221689989
615,Much,1,3.094222570791982
616,Mucklebury,1,5.5499188424801815
617,Mulligan,1,4.421453590662391
618,Music,1,4.4635018269058895
619,My,13,2.2257384475750253
620,Nancy,1,2.1289188335218463
621,Naples,3,4.475847662728189
622,Nassau,1,5.606008309131225
623,Nature,1,2.196512124654374
624,Nella,1,3.486514299710162
625,Never,1,1.3048059374656997
626,New,6,3.0514679675844234
627,Newport,1,4.7614614821159105
628,Next,2,3.0567133898774856
629,Nibs,1,5.919665867986266
630,No,8,1.3679380984996086
631,Nobody,1,2.705009458660774
632,None,1,2.444109919005564
633,Nor,1,1.9563495681705698
634,Nora,1,2.994807934018932
635,Not,7,2.2184567228364758
636,Now,5,1.3080951565013612
637,O,4,1.9922358467349786
638,OSTERNO,2,10.250399208272597
639,Oberland,1,8.864104847152706
640,October,1,3.145433760002755
641,Of,2,1.0672245043691841
642,Often,1,3.404519333008548
643,Oh,9,1.539981154757466
644,Old,2,2.5790382850819538
645,On,4,1.6965848334007148
646,Once,1,1.551551349050109
647,One,7,2.2346472407407107
648,Open,1,3.9625406481108127
649,Opposition,1,5.382864757817015
650,Or,4,3.161156053245083
651,Orlando,1,2.9587429990981367
652,Ormond,1,4.119172718789457
653,Ostend,1,4.893812933600585
654,Otto,2,3.97752220172643
655,Our,1,1.5366528778156812
656,Over,1,3.0076012854788416
657,Oxford,1,2.355335710181025
658,P,3,3.917711821784805
659,PRECISELY,1,8.864104847152706
660,Palazza,1,9.557252027712652
661,Palmer,1,4.409757550899199
662,Pantiles,1,6.561519754158661
663,Paree,4,9.334108476398443
664,Paris,11,3.8280381151646474
665,Parisian,3,5.3625594916562696
666,Park,1,2.223575632054968
667,Patrick,1,3.8336669257602716
668,Patty,1,3.9188973583789064
669,Paul,1,1.5386265626669033
670,Peace,1,3.5682906108227885
671,Peals,1,8.170957666592761
672,Peel,6,6.9923026702511155
673,Pegnugger,1,6.666880269816487
